lambda	thetas	ref00	ref01/ref00	ref02/ref00	ref03/ref00	ref10/ref00	ref11/ref00	ref12/ref00	ref13/ref00	ref20/ref00	ref21/ref00	ref22/ref00	ref23/ref00	ref30/ref00	ref31/ref00	ref32/ref00	ref33/ref00	refs	refp	
1.552	1.0000000000e+00	9.9771017907e-01	-1.9254741612e-03	0.0000000000e+00	0.0000000000e+00	-1.9254741612e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9888142677e-01	4.7246034772e-02	0.0000000000e+00	0.0000000000e+00	-4.7246034772e-02	9.9888142677e-01	9.9578911390e-01	9.9963124424e-01	
1.5521	1.0000000000e+00	9.9771691423e-01	-1.9187548484e-03	0.0000000000e+00	0.0000000000e+00	-1.9187548484e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9888629636e-01	4.7143242708e-02	0.0000000000e+00	0.0000000000e+00	-4.7143242708e-02	9.9888629636e-01	9.9580254006e-01	9.9963128840e-01	
1.5522	1.0000000000e+00	9.9772356971e-01	-1.9121156161e-03	0.0000000000e+00	0.0000000000e+00	-1.9121156161e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9889110491e-01	4.7041517180e-02	0.0000000000e+00	0.0000000000e+00	-4.7041517180e-02	9.9889110491e-01	9.9581580689e-01	9.9963133253e-01	
1.5523	1.0000000000e+00	9.9773014703e-01	-1.9055549346e-03	0.0000000000e+00	0.0000000000e+00	-1.9055549346e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9889585364e-01	4.6940839713e-02	0.0000000000e+00	0.0000000000e+00	-4.6940839713e-02	9.9889585364e-01	9.9582891742e-01	9.9963137663e-01	
1.5524	1.0000000000e+00	9.9773664766e-01	-1.8990713138e-03	0.0000000000e+00	0.0000000000e+00	-1.8990713138e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9890054372e-01	4.6841192268e-02	0.0000000000e+00	0.0000000000e+00	-4.6841192268e-02	9.9890054372e-01	9.9584187462e-01	9.9963142071e-01	
1.5525	1.0000000000e+00	9.9774307306e-01	-1.8926633030e-03	0.0000000000e+00	0.0000000000e+00	-1.8926633030e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9890517626e-01	4.6742557236e-02	0.0000000000e+00	0.0000000000e+00	-4.6742557236e-02	9.9890517626e-01	9.9585468136e-01	9.9963146476e-01	
1.5526	1.0000000000e+00	9.9774942462e-01	-1.8863294866e-03	0.0000000000e+00	0.0000000000e+00	-1.8863294866e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9890975240e-01	4.6644917417e-02	0.0000000000e+00	0.0000000000e+00	-4.6644917417e-02	9.9890975240e-01	9.9586734046e-01	9.9963150878e-01	
1.5527	1.0000000000e+00	9.9775570372e-01	-1.8800684853e-03	0.0000000000e+00	0.0000000000e+00	-1.8800684853e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9891427320e-01	4.6548256015e-02	0.0000000000e+00	0.0000000000e+00	-4.6548256015e-02	9.9891427320e-01	9.9587985466e-01	9.9963155277e-01	
1.5528	1.0000000000e+00	9.9776191169e-01	-1.8738789551e-03	0.0000000000e+00	0.0000000000e+00	-1.8738789551e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9891873972e-01	4.6452556621e-02	0.0000000000e+00	0.0000000000e+00	-4.6452556621e-02	9.9891873972e-01	9.9589222664e-01	9.9963159674e-01	
1.5529	1.0000000000e+00	9.9776804984e-01	-1.8677595851e-03	0.0000000000e+00	0.0000000000e+00	-1.8677595851e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9892315298e-01	4.6357803204e-02	0.0000000000e+00	0.0000000000e+00	-4.6357803204e-02	9.9892315298e-01	9.9590445900e-01	9.9963164067e-01	
1.553	1.0000000000e+00	9.9777411943e-01	-1.8617090958e-03	0.0000000000e+00	0.0000000000e+00	-1.8617090958e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9892751398e-01	4.6263980101e-02	0.0000000000e+00	0.0000000000e+00	-4.6263980101e-02	9.9892751398e-01	9.9591655428e-01	9.9963168459e-01	
1.5531	1.0000000000e+00	9.9778012172e-01	-1.8557262411e-03	0.0000000000e+00	0.0000000000e+00	-1.8557262411e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9893182369e-01	4.6171072003e-02	0.0000000000e+00	0.0000000000e+00	-4.6171072003e-02	9.9893182369e-01	9.9592851496e-01	9.9963172847e-01	
1.5532	1.0000000000e+00	9.9778605789e-01	-1.8498098037e-03	0.0000000000e+00	0.0000000000e+00	-1.8498098037e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9893608307e-01	4.6079063950e-02	0.0000000000e+00	0.0000000000e+00	-4.6079063950e-02	9.9893608307e-01	9.9594034346e-01	9.9963177233e-01	
1.5533	1.0000000000e+00	9.9779192915e-01	-1.8439585973e-03	0.0000000000e+00	0.0000000000e+00	-1.8439585973e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9894029305e-01	4.5987941315e-02	0.0000000000e+00	0.0000000000e+00	-4.5987941315e-02	9.9894029305e-01	9.9595204215e-01	9.9963181616e-01	
1.5534	1.0000000000e+00	9.9779773664e-01	-1.8381714625e-03	0.0000000000e+00	0.0000000000e+00	-1.8381714625e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9894445451e-01	4.5897689799e-02	0.0000000000e+00	0.0000000000e+00	-4.5897689799e-02	9.9894445451e-01	9.9596361331e-01	9.9963185996e-01	
1.5535	1.0000000000e+00	9.9780348147e-01	-1.8324472695e-03	0.0000000000e+00	0.0000000000e+00	-1.8324472695e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9894856835e-01	4.5808295421e-02	0.0000000000e+00	0.0000000000e+00	-4.5808295421e-02	9.9894856835e-01	9.9597505921e-01	9.9963190374e-01	
1.5536	1.0000000000e+00	9.9780916476e-01	-1.8267849143e-03	0.0000000000e+00	0.0000000000e+00	-1.8267849143e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9895263542e-01	4.5719744506e-02	0.0000000000e+00	0.0000000000e+00	-4.5719744506e-02	9.9895263542e-01	9.9598638203e-01	9.9963194749e-01	
1.5537	1.0000000000e+00	9.9781478757e-01	-1.8211833195e-03	0.0000000000e+00	0.0000000000e+00	-1.8211833195e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9895665657e-01	4.5632023681e-02	0.0000000000e+00	0.0000000000e+00	-4.5632023681e-02	9.9895665657e-01	9.9599758392e-01	9.9963199122e-01	
1.5538	1.0000000000e+00	9.9782035094e-01	-1.8156414327e-03	0.0000000000e+00	0.0000000000e+00	-1.8156414327e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9896063261e-01	4.5545119864e-02	0.0000000000e+00	0.0000000000e+00	-4.5545119864e-02	9.9896063261e-01	9.9600866697e-01	9.9963203492e-01	
1.5539	1.0000000000e+00	9.9782585591e-01	-1.8101582271e-03	0.0000000000e+00	0.0000000000e+00	-1.8101582271e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9896456434e-01	4.5459020257e-02	0.0000000000e+00	0.0000000000e+00	-4.5459020257e-02	9.9896456434e-01	9.9601963323e-01	9.9963207859e-01	
1.554	1.0000000000e+00	9.9783130346e-01	-1.8047326987e-03	0.0000000000e+00	0.0000000000e+00	-1.8047326987e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9896845254e-01	4.5373712336e-02	0.0000000000e+00	0.0000000000e+00	-4.5373712336e-02	9.9896845254e-01	9.9603048468e-01	9.9963212224e-01	
1.5541	1.0000000000e+00	9.9783669457e-01	-1.7993638672e-03	0.0000000000e+00	0.0000000000e+00	-1.7993638672e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9897229797e-01	4.5289183847e-02	0.0000000000e+00	0.0000000000e+00	-4.5289183847e-02	9.9897229797e-01	9.9604122327e-01	9.9963216586e-01	
1.5542	1.0000000000e+00	9.9784203019e-01	-1.7940507748e-03	0.0000000000e+00	0.0000000000e+00	-1.7940507748e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9897610138e-01	4.5205422796e-02	0.0000000000e+00	0.0000000000e+00	-4.5205422796e-02	9.9897610138e-01	9.9605185092e-01	9.9963220946e-01	
1.5543	1.0000000000e+00	9.9784731126e-01	-1.7887924858e-03	0.0000000000e+00	0.0000000000e+00	-1.7887924858e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9897986349e-01	4.5122417444e-02	0.0000000000e+00	0.0000000000e+00	-4.5122417444e-02	9.9897986349e-01	9.9606236949e-01	9.9963225303e-01	
1.5544	1.0000000000e+00	9.9785253868e-01	-1.7835880853e-03	0.0000000000e+00	0.0000000000e+00	-1.7835880853e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9898358502e-01	4.5040156299e-02	0.0000000000e+00	0.0000000000e+00	-4.5040156299e-02	9.9898358502e-01	9.9607278078e-01	9.9963229658e-01	
1.5545	1.0000000000e+00	9.9785771334e-01	-1.7784366799e-03	0.0000000000e+00	0.0000000000e+00	-1.7784366799e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9898726665e-01	4.4958628108e-02	0.0000000000e+00	0.0000000000e+00	-4.4958628108e-02	9.9898726665e-01	9.9608308658e-01	9.9963234010e-01	
1.5546	1.0000000000e+00	9.9786283611e-01	-1.7733373949e-03	0.0000000000e+00	0.0000000000e+00	-1.7733373949e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9899090906e-01	4.4877821854e-02	0.0000000000e+00	0.0000000000e+00	-4.4877821854e-02	9.9899090906e-01	9.9609328863e-01	9.9963238360e-01	
1.5547	1.0000000000e+00	9.9786790785e-01	-1.7682893766e-03	0.0000000000e+00	0.0000000000e+00	-1.7682893766e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9899451291e-01	4.4797726747e-02	0.0000000000e+00	0.0000000000e+00	-4.4797726747e-02	9.9899451291e-01	9.9610338863e-01	9.9963242707e-01	
1.5548	1.0000000000e+00	9.9787292937e-01	-1.7632917894e-03	0.0000000000e+00	0.0000000000e+00	-1.7632917894e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9899807886e-01	4.4718332219e-02	0.0000000000e+00	0.0000000000e+00	-4.4718332219e-02	9.9899807886e-01	9.9611338823e-01	9.9963247052e-01	
1.5549	1.0000000000e+00	9.9787790150e-01	-1.7583438163e-03	0.0000000000e+00	0.0000000000e+00	-1.7583438163e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9900160753e-01	4.4639627921e-02	0.0000000000e+00	0.0000000000e+00	-4.4639627921e-02	9.9900160753e-01	9.9612328906e-01	9.9963251394e-01	
1.555	1.0000000000e+00	9.9788282503e-01	-1.7534446585e-03	0.0000000000e+00	0.0000000000e+00	-1.7534446585e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9900509954e-01	4.4561603711e-02	0.0000000000e+00	0.0000000000e+00	-4.4561603711e-02	9.9900509954e-01	9.9613309272e-01	9.9963255734e-01	
1.5551	1.0000000000e+00	9.9788770073e-01	-1.7485935345e-03	0.0000000000e+00	0.0000000000e+00	-1.7485935345e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9900855550e-01	4.4484249653e-02	0.0000000000e+00	0.0000000000e+00	-4.4484249653e-02	9.9900855550e-01	9.9614280075e-01	9.9963260071e-01	
1.5552	1.0000000000e+00	9.9789252937e-01	-1.7437896791e-03	0.0000000000e+00	0.0000000000e+00	-1.7437896791e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9901197599e-01	4.4407556014e-02	0.0000000000e+00	0.0000000000e+00	-4.4407556014e-02	9.9901197599e-01	9.9615241468e-01	9.9963264406e-01	
1.5553	1.0000000000e+00	9.9789731169e-01	-1.7390323452e-03	0.0000000000e+00	0.0000000000e+00	-1.7390323452e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9901536159e-01	4.4331513253e-02	0.0000000000e+00	0.0000000000e+00	-4.4331513253e-02	9.9901536159e-01	9.9616193599e-01	9.9963268739e-01	
1.5554	1.0000000000e+00	9.9790204842e-01	-1.7343207998e-03	0.0000000000e+00	0.0000000000e+00	-1.7343207998e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9901871288e-01	4.4256112019e-02	0.0000000000e+00	0.0000000000e+00	-4.4256112019e-02	9.9901871288e-01	9.9617136614e-01	9.9963273069e-01	
1.5555	1.0000000000e+00	9.9790674026e-01	-1.7296543272e-03	0.0000000000e+00	0.0000000000e+00	-1.7296543272e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9902203039e-01	4.4181343148e-02	0.0000000000e+00	0.0000000000e+00	-4.4181343148e-02	9.9902203039e-01	9.9618070655e-01	9.9963277397e-01	
1.5556	1.0000000000e+00	9.9791138793e-01	-1.7250322256e-03	0.0000000000e+00	0.0000000000e+00	-1.7250322256e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9902531468e-01	4.4107197656e-02	0.0000000000e+00	0.0000000000e+00	-4.4107197656e-02	9.9902531468e-01	9.9618995862e-01	9.9963281723e-01	
1.5557	1.0000000000e+00	9.9791599209e-01	-1.7204538091e-03	0.0000000000e+00	0.0000000000e+00	-1.7204538091e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9902856627e-01	4.4033666734e-02	0.0000000000e+00	0.0000000000e+00	-4.4033666734e-02	9.9902856627e-01	9.9619912372e-01	9.9963286046e-01	
1.5558	1.0000000000e+00	9.9792055342e-01	-1.7159184056e-03	0.0000000000e+00	0.0000000000e+00	-1.7159184056e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9903178569e-01	4.3960741745e-02	0.0000000000e+00	0.0000000000e+00	-4.3960741745e-02	9.9903178569e-01	9.9620820318e-01	9.9963290367e-01	
1.5559	1.0000000000e+00	9.9792507258e-01	-1.7114253569e-03	0.0000000000e+00	0.0000000000e+00	-1.7114253569e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9903497342e-01	4.3888414222e-02	0.0000000000e+00	0.0000000000e+00	-4.3888414222e-02	9.9903497342e-01	9.9621719831e-01	9.9963294685e-01	
1.556	1.0000000000e+00	9.9792955020e-01	-1.7069740191e-03	0.0000000000e+00	0.0000000000e+00	-1.7069740191e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9903812998e-01	4.3816675857e-02	0.0000000000e+00	0.0000000000e+00	-4.3816675857e-02	9.9903812998e-01	9.9622611039e-01	9.9963299002e-01	
1.5561	1.0000000000e+00	9.9793398691e-01	-1.7025637610e-03	0.0000000000e+00	0.0000000000e+00	-1.7025637610e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9904125585e-01	4.3745518504e-02	0.0000000000e+00	0.0000000000e+00	-4.3745518504e-02	9.9904125585e-01	9.9623494067e-01	9.9963303316e-01	
1.5562	1.0000000000e+00	9.9793838333e-01	-1.6981939641e-03	0.0000000000e+00	0.0000000000e+00	-1.6981939641e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9904435150e-01	4.3674934174e-02	0.0000000000e+00	0.0000000000e+00	-4.3674934174e-02	9.9904435150e-01	9.9624369039e-01	9.9963307627e-01	
1.5563	1.0000000000e+00	9.9794274006e-01	-1.6938640240e-03	0.0000000000e+00	0.0000000000e+00	-1.6938640240e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9904741740e-01	4.3604915026e-02	0.0000000000e+00	0.0000000000e+00	-4.3604915026e-02	9.9904741740e-01	9.9625236075e-01	9.9963311936e-01	
1.5564	1.0000000000e+00	9.9794705768e-01	-1.6895733468e-03	0.0000000000e+00	0.0000000000e+00	-1.6895733468e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9905045400e-01	4.3535453370e-02	0.0000000000e+00	0.0000000000e+00	-4.3535453370e-02	9.9905045400e-01	9.9626095293e-01	9.9963316243e-01	
1.5565	1.0000000000e+00	9.9795133679e-01	-1.6853213521e-03	0.0000000000e+00	0.0000000000e+00	-1.6853213521e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9905346176e-01	4.3466541660e-02	0.0000000000e+00	0.0000000000e+00	-4.3466541660e-02	9.9905346176e-01	9.9626946809e-01	9.9963320548e-01	
1.5566	1.0000000000e+00	9.9795557793e-01	-1.6811074697e-03	0.0000000000e+00	0.0000000000e+00	-1.6811074697e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9905644110e-01	4.3398172489e-02	0.0000000000e+00	0.0000000000e+00	-4.3398172489e-02	9.9905644110e-01	9.9627790735e-01	9.9963324851e-01	
1.5567	1.0000000000e+00	9.9795978167e-01	-1.6769311425e-03	0.0000000000e+00	0.0000000000e+00	-1.6769311425e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9905939246e-01	4.3330338591e-02	0.0000000000e+00	0.0000000000e+00	-4.3330338591e-02	9.9905939246e-01	9.9628627184e-01	9.9963329151e-01	
